Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,5.0,4.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Faithfulness,5.0,4.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Multi-hop reasoning,5.0,4.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
cross-doc,Latency (s),1.902,9.122,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,1223.5,1926.0,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),8.168,6.096,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,871.0,651.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),18.154,22.84,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,1087.0,1766.5,Flat RAG thường rẻ/nhanh hơn.
